입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
instt_title,char_wb,"(2, 5)",3,1.0,False,True,0.7857816331194046,0.016661109262202295
title,char,"(3, 5)",3,1.0,True,False,0.7857010204849566,0.02061789578290406
title,char,"(3, 5)",3,0.9,True,False,0.7857010204849566,0.02061789578290406
instt_title,char_wb,"(2, 5)",1,1.0,False,True,0.7856368148385411,0.012072518943365427
instt_title,char_wb,"(2, 5)",1,0.9,False,True,0.7856368148385411,0.012072518943365427
title,char,"(3, 5)",3,1.0,False,True,0.7856342556781197,0.01857264114789756
title,char,"(3, 5)",3,0.9,False,True,0.7856342556781197,0.01857264114789756
title,char,"(3, 5)",3,0.9,True,True,0.7849374430713904,0.0191386497726004
title,char,"(3, 5)",3,1.0,True,True,0.7849374430713904,0.0191386497726004
title,char_wb,"(3, 5)",1,0.9,False,False,0.7842809845109218,0.025066821126024184
title,char_wb,"(3, 5)",1,1.0,False,False,0.7842809845109218,0.025066821126024184
title,char_wb,"(3, 5)",3,0.9,False,False,0.7842580282996148,0.02360166397192307
title,char_wb,"(3, 5)",3,1.0,False,False,0.7842580282996148,0.02360166397192307
instt_title,char,"(2, 5)",1,0.9,True,True,0.7838129050657947,0.0170945461655427
instt_title,char,"(2, 5)",1,1.0,True,True,0.7838129050657947,0.0170945461655427
title,char_wb,"(3, 5)",1,0.9,True,False,0.7837892194941988,0.024806713759721474
title,char_wb,"(3, 5)",1,1.0,True,False,0.7837892194941988,0.024806713759721474
title,char_wb,"(3, 5)",3,1.0,True,False,0.7830466394115737,0.024093833188152027
title,char_wb,"(3, 5)",3,0.9,True,False,0.7830466394115737,0.024093833188152027
title,char_wb,"(3, 5)",2,0.9,False,False,0.7815808104788082,0.021512505787905825
title,char_wb,"(3, 5)",2,1.0,False,False,0.7815808104788082,0.021512505787905825
title,char_wb,"(3, 5)",2,1.0,True,False,0.781135740943458,0.021879588145269083
title,char_wb,"(3, 5)",2,0.9,True,False,0.781135740943458,0.021879588145269083
title,char,"(3, 5)",1,1.0,True,False,0.7809100386509976,0.019115537396667028
title,char,"(3, 5)",1,0.9,True,False,0.7809100386509976,0.019115537396667028
title,char,"(3, 5)",1,1.0,False,False,0.7806308007836186,0.0195814446431818
title,char,"(3, 5)",1,0.9,False,False,0.7806308007836186,0.0195814446431818
